# Dataset: comisiones_paridad
# Generado: 2026-05-24 01:25
# Filas: 2236
# Fuente: Composición de comisiones permanentes — HCDN
# URL fuente: https://www.hcdn.gob.ar/comisiones/permanentes/
# Método: Scraping de páginas /integrantes.html. Snapshots históricos via Wayback Machine. Género inferido del nombre para snapshots sin padrón cargado
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
comision_slug,comision_nombre,categoria_tematica,camara,cargo_canonico,cargo_crudo,orden_jerarquico,diputado_slug,apellido,nombre,bloque,distrito,genero,fecha_nacimiento,profesion_categoria
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,presidente,PRESIDENTE,1,mquintar,Quintar,Manuel,LA LIBERTAD AVANZA,JUJUY,M,1982-01-18,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vicepresidente_1,VICEPRESIDENTE 1ª,2,cpalladino,Palladino,Claudia María,UNIÓN POR LA PATRIA,CATAMARCA,F,1965-08-07,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vicepresidente_2,VICEPRESIDENTE 2ª,3,pjuliano,Juliano,Pablo,PROVINCIAS UNIDAS,BUENOS AIRES,M,1988-04-06,Derecho
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,secretario,SECRETARIO,5,mpetrovich,Petrovich,María Lorena,LA LIBERTAD AVANZA,BUENOS AIRES,F,1979-10-23,Comunicación y Periodismo
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,pansaloni,Ansaloni,Pablo,LA LIBERTAD AVANZA,BUENOS AIRES,M,1971-05-09,Trabajo y Oficios
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,jaraujoh,Araujo Hernández,Jorge Neri,UNIÓN POR LA PATRIA,TIERRA DEL FUEGO,M,1968-04-05,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mbarbur,Barbur,Marcelo,UNIÓN POR LA PATRIA,SANTIAGO DEL ESTERO,M,1967-10-09,Salud
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,cbasualdo,Basualdo,Carolina,PROVINCIAS UNIDAS,CORDOBA,F,1978-06-19,Comunicación y Periodismo
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,mbecerra,Becerra,Mónica,LA LIBERTAD AVANZA,SAN LUIS,F,1974-06-16,Economía y Contabilidad
casyspublica,ACCION SOCIAL Y SALUD PUBLICA,Cuidado y Bienestar Social,diputados,vocal,VOCAL,6,bbenedit,Benedit,Beltrán,LA LIBERTAD AVANZA,ENTRE RIOS,M,1957-09-28,Agropecuario
