# Dataset: padron_diputados
# Generado: 2026-05-24 01:24
# Filas: 257
# Fuente: Honorable Cámara de Diputados de la Nación Argentina (HCDN)
# URL fuente: https://www.hcdn.gob.ar/diputados/
# Método: Scraping del listado oficial + páginas individuales
# Licencia: CC BY 4.0 — citar como: Quórum (2026), Observatorio de Comportamiento Parlamentario Nacional
#
slug,apellido,nombre,distrito,periodo_mandato,fecha_inicio_mandato,fecha_fin_mandato,bloque,fecha_nacimiento,edad_anios,genero,profesion,profesion_categoria,foto_url,padron_snapshot_fecha
haguirre,Aguirre,Hilda,LA RIOJA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1960-04-11,66,F,Psicóloga Social,Salud,https://parlamentaria.hcdn.gob.ar/image/27139186244_20231130154914000_small.png,2026-02-17
gcaguero,Agüero,Guillermo César,CHACO,2025-2029,2025-12-10,2029-12-09,UCR - UNIÓN CÍVICA RADICAL,1971-04-23,55,M,abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20219307757_20251127110110000_small.png,2026-02-17
sajmechet,Ajmechet,Sabrina,CIUDAD DE BUENOS AIRES,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1981-08-22,44,F,Historiadora,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/27290423894_20251205090952000_small.png,2026-02-17
calmena,Almena,Carlos Alberto,SAN LUIS,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1968-04-06,58,M,Analista de Sistemas,Ingeniería y Técnicas,https://parlamentaria.hcdn.gob.ar/image/20200592167_20251204134624000_small.png,2026-02-17
calmiron,Almirón,Lisandro,CORRIENTES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1973-12-06,52,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/23233977519_20231128110506000_small.png,2026-02-17
enali,Alí,"Ernesto ""Pipi""",SAN LUIS,2023-2027,2024-01-31,2027-12-09,UNIÓN POR LA PATRIA,1971-10-04,54,M,Abogado,Derecho,https://parlamentaria.hcdn.gob.ar/image/20223799281_20240129144903000_small.png,2026-02-17
candino,Andino,Cristian,SAN JUAN,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1973-05-02,53,M,Contador,Economía y Contabilidad,https://parlamentaria.hcdn.gob.ar/image/20233803252_20251202134006000_small.png,2026-02-17
jandrade,Andrade,Javier,CIUDAD DE BUENOS AIRES,2023-2027,2025-12-10,2027-12-09,UNIÓN POR LA PATRIA,1969-02-01,57,M,Empleado,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20205726838_20251202084506000_small.png,2026-02-17
bandreussi,Andreussi,Barbara,JUJUY,2025-2029,2025-12-10,2029-12-09,LA LIBERTAD AVANZA,1965-11-22,60,F,Fecha de Nac.: 22/11/1965,Otras / Sin definir,https://parlamentaria.hcdn.gob.ar/image/27178894590_20251125093245000_small.png,2026-02-17
pansaloni,Ansaloni,Pablo,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1971-05-09,55,M,Empleado,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20220776795_20231218133633000_small.png,2026-02-17
darabia,Arabia,Damián,CIUDAD DE BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1991-07-22,34,M,Licenciado en Cs. Sociales,Ciencias Sociales y Políticas,https://parlamentaria.hcdn.gob.ar/image/20357318158_20231128095338000_small.png,2026-02-17
jaraujoh,Araujo Hernández,Jorge Neri,TIERRA DEL FUEGO,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1968-04-05,58,M,Médico,Salud,https://parlamentaria.hcdn.gob.ar/image/20229561481_20231128110329000_small.png,2026-02-17
mardohain,Ardohain,Martín,LA PAMPA,2023-2027,2023-12-10,2027-12-09,PRO,1968-02-29,58,M,Lic. en Administración Agragria,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/23202055869_20231218135501000_small.png,2026-02-17
larrieta,Arrieta,Lourdes Micaela,MENDOZA,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1993-03-25,33,F,Licenciada en Comunicación Social,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27372984177_20240522103948000_small.png,2026-02-17
aarrua,Arrúa,Alberto,MISIONES,2023-2027,2023-12-10,2027-12-09,INNOVACIÓN FEDERAL,1976-06-29,49,M,Martillero Público,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/20245738723_20231128100717000_small.png,2026-02-17
maveiro,Aveiro,Martín,MENDOZA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1975-06-30,50,M,Docente,Educación y Docencia,https://parlamentaria.hcdn.gob.ar/image/20241811612_20231218133854000_small.png,2026-02-17
bavico,Avico,Belén,CORDOBA,2023-2027,2023-12-10,2027-12-09,LA LIBERTAD AVANZA,1979-11-27,46,F,Emprendedora,Empresa y Comercio,https://parlamentaria.hcdn.gob.ar/image/27275988877_20231218134025000_small.png,2026-02-17
mavila,Avila,Fernanda,CATAMARCA,2023-2027,2023-12-10,2027-12-09,ELIJO CATAMARCA,1987-03-11,39,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27324151031_20231128100116000_small.png,2026-02-17
jaavila,Avila,Jorge Antonio,CHUBUT,2023-2027,2023-12-10,2027-12-09,PROVINCIAS UNIDAS,1965-05-19,61,M,Trabajador Petrolero,Trabajo y Oficios,https://parlamentaria.hcdn.gob.ar/image/20174462144_20231205093948000_small.png,2026-02-17
kbanfi,Banfi,Karina,BUENOS AIRES,2023-2027,2023-12-10,2027-12-09,ADELANTE BUENOS AIRES,1972-02-27,54,F,Abogada,Derecho,https://parlamentaria.hcdn.gob.ar/image/27225074467_20231215100135000_small.png,2026-02-17
mbarbur,Barbur,Marcelo,SANTIAGO DEL ESTERO,2025-2029,2025-12-10,2029-12-09,UNIÓN POR LA PATRIA,1967-10-09,58,M,Médico,Salud,https://parlamentaria.hcdn.gob.ar/image/20184725976_20251127111243000_small.png,2026-02-17
lbasterra,Basterra,Luis Eugenio,FORMOSA,2023-2027,2023-12-10,2027-12-09,UNIÓN POR LA PATRIA,1958-10-14,67,M,Ingeniero Agrónomo,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/23124773849_20231218134240000_small.png,2026-02-17
abasualdo,Basualdo,Atilio,FORMOSA,2025-2029,2025-12-17,2029-12-09,LA LIBERTAD AVANZA,1962-04-04,64,M,Actividad Pecuaria,Agropecuario,https://parlamentaria.hcdn.gob.ar/image/20147385375_20251216131254000_small.png,2026-02-17
cbasualdo,Basualdo,Carolina,CORDOBA,2025-2029,2025-12-10,2029-12-09,PROVINCIAS UNIDAS,1978-06-19,47,F,Licenciada en Comunicación,Comunicación y Periodismo,https://parlamentaria.hcdn.gob.ar/image/27264849638_20251203092410000_small.png,2026-02-17
